"","length","max_sp_length","length_index","hg_liv","hg_mus","se_liv","se_mus","species","genus","family","subord","format","sample","number","tissue","lat","long","trophic","X","author","source_doi","habit","hg_sea"
"91","194","330","0.5878787879","7.3","ND","3.62","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"92","239","330","0.7242424242","75","ND","21.36","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"93","168","330","0.5090909091","2.5","ND","1.78","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"94","ND","330","ND","1","ND","0.77","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"95","236","330","0.7151515152","21.3","ND","8.3","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"96","230","330","0.696969697","38","ND","19.61","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"97","272","330","0.8242424242","8.1","ND","6.18","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"98","109","330","0.3303030303","0.5","ND","0.61","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"99","255","330","0.7727272727","18.1","ND","8.1","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
"100","106","330","0.3212121212","0.5","ND","0.44","ND","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","liver",32.529028,-79.474561,4.2,"","Beck et al 1997","10.1016/S0025-326X(97)00071-4","n",7.21173554610674e-10
